hptat,Who was the first Chief Minister of HP?,Shanta Kumar,Ram Lal,Y.S. Parmar,Virbhadra Singh,2
hptat,Which is the state bird of Himachal Pradesh?,Peacock,Western Tragopan,Monal,Parrot,1
hptat,Shimla was declared the summer capital of British India in?,1905,1911,1864,1858,2
hptat,The Great Himalayan National Park is located in?,Kullu,Shimla,Mandi,Chamba,0
hptat,Which river is known as 'Chandrabhaga'?,Satluj,Beas,Chenab,Ravi,2
hptat,Nati is a famous folk dance of which district?,Kullu,Sirmaur,Kangra,Una,0
hptat,Who built the Tabo Monastery?,None,Padmasambhava,Dalai Lama,Rinchen Zangpo,3
hptat,Which place is known as 'Mini Switzerland'?,Khajjiar,Chail,Manali,Dalhousie,0
hptat,Total number of districts in HP?,8,12,10,14,1
hptat,The height of Shilla peak is?,6500m,6050m,6816m,7025m,3
upsc,Who was the first Governor-General of Bengal?,Lord Minto,Warren Hastings,Lord Wellesley,Lord Cornwallis,1
upsc,The Battle of Plassey was fought in which year?,1757,1947,1764,1857,0
upsc,Who founder of the Maurya Empire?,Chandragupta Maurya,Bindusara,Kanishka,Ashoka,0
upsc,Which act introduced dyarchy in provinces?,Government of India Act 1919,Indian Councils Act 1909,Government of India Act 1935,Charter Act 1833,0
upsc,The Quit India Movement was launched in?,1942,1919,1930,1920,0
upsc,Which Article deals with the abolition of untouchability?,Article 21,Article 14,Article 19,Article 17,3
upsc,Who is the ex-officio Chairman of Rajya Sabha?,President,Vice President,Speaker,Prime Minister,1
upsc,The Minimum age for becoming a Governor of State is?,30 years,25 years,21 years,35 years,3
upsc,Which Schedule contains the list of recognized languages?,Eighth Schedule,Tenth Schedule,Seventh Schedule,Ninth Schedule,0
upsc,The power to amend the Constitution rests with?,President,Supreme Court,State Assemblies,Parliament,3
upsc,Which is the longest river in India?,Godavari,Yamuna,Narmada,Ganga,3
upsc,Where is the headquarters of ISRO?,Chennai,Mumbai,New Delhi,Bengaluru,3
upsc,Which state has result highest literacy rate?,Punjab,Kerala,Tamil Nadu,Maharashtra,1
upsc,The Tropic of Cancer passes through how many states?,9,7,8,6,2
upsc,Which soil is best for cotton cultivation?,Laterite Soil,Black Soil,Red Soil,Alluvial Soil,1
ssc,What is the chemical formula of Water?,O2,CO2,H2O,NaCl,2
ssc,Which gas is used in electric bulbs?,Oxygen,Argon,Hydrogen,Nitrogen,1
ssc,The unit of force is?,Watt,Pascal,Newton,Joule,2
ssc,Which vitamin is known as Ascorbic Acid?,Vitamin C,Vitamin B,Vitamin A,Vitamin D,0
ssc,Sound travels fastest in?,Steel,Air,Vacuum,Water,0
ssc,What is the square root of 144?,16,10,12,14,2
ssc,What is 15% of 200? (Var 905),30,20,25,40,0
ssc,The sum of angles in a triangle is? (Var 429),360,90,270,180,3
ssc,If x + 5 = 10, then x is? (Var 714),15,10,0,5,3
ssc,What is the value of Pi (approx)? (Var 674),3.12,3.24,3.14,3.41,2
ssc,Find the odd one out: Car, Bus, Truck, Ship (Var 908),Ship,Bus,Car,Truck,0
ssc,Complete the series: 2, 4, 8, 16, ? (Var 203),32,20,64,24,0
ssc,If CAT = 3120, then DOG = ? (Var 77),4167,4156,5157,4157,3
ssc,Sun is to Day as Moon is to? (Var 232),Dark,Night,Sky,Star,1
ssc,Which word does not belong? (Var 161),Carrot,Mango,Apple,Banana,2
hptat,Who was the first Chief Minister of HP? (Var 106),Ram Lal,Y.S. Parmar,Shanta Kumar,Virbhadra Singh,1
hptat,Which is the state bird of Himachal Pradesh? (Var 907),Peacock,Monal,Parrot,Western Tragopan,3
hptat,Shimla was declared the summer capital of British India in? (Var 933),1911,1905,1864,1858,2
hptat,The Great Himalayan National Park is located in? (Var 868),Shimla,Chamba,Mandi,Kullu,3
hptat,Which river is known as 'Chandrabhaga'? (Var 240),Beas,Satluj,Ravi,Chenab,3
hptat,Nati is a famous folk dance of which district? (Var 910),Una,Kangra,Sirmaur,Kullu,3
hptat,Who built the Tabo Monastery? (Var 914),Dalai Lama,None,Padmasambhava,Rinchen Zangpo,3
hptat,Which place is known as 'Mini Switzerland'? (Var 573),Khajjiar,Dalhousie,Manali,Chail,0
hptat,Total number of districts in HP? (Var 203),14,10,12,8,2
hptat,The height of Shilla peak is? (Var 670),6500m,6816m,7025m,6050m,2
upsc,Who was the first Governor-General of Bengal? (Var 370),Warren Hastings,Lord Cornwallis,Lord Wellesley,Lord Minto,0
upsc,The Battle of Plassey was fought in which year? (Var 472),1857,1764,1757,1947,2
upsc,Who founder of the Maurya Empire? (Var 883),Ashoka,Kanishka,Bindusara,Chandragupta Maurya,3
upsc,Which act introduced dyarchy in provinces? (Var 837),Indian Councils Act 1909,Charter Act 1833,Government of India Act 1919,Government of India Act 1935,2
upsc,The Quit India Movement was launched in? (Var 668),1930,1919,1920,1942,3
upsc,Which Article deals with the abolition of untouchability? (Var 588),Article 17,Article 21,Article 19,Article 14,0
upsc,Who is the ex-officio Chairman of Rajya Sabha? (Var 223),Vice President,President,Speaker,Prime Minister,0
upsc,The Minimum age for becoming a Governor of State is? (Var 836),35 years,21 years,25 years,30 years,0
upsc,Which Schedule contains the list of recognized languages? (Var 162),Seventh Schedule,Eighth Schedule,Ninth Schedule,Tenth Schedule,1
upsc,The power to amend the Constitution rests with? (Var 763),Supreme Court,State Assemblies,Parliament,President,2
upsc,Which is the longest river in India? (Var 694),Narmada,Yamuna,Godavari,Ganga,3
upsc,Where is the headquarters of ISRO? (Var 766),Mumbai,Chennai,New Delhi,Bengaluru,3
upsc,Which state has result highest literacy rate? (Var 648),Kerala,Tamil Nadu,Punjab,Maharashtra,0
upsc,The Tropic of Cancer passes through how many states? (Var 68),8,7,6,9,0
upsc,Which soil is best for cotton cultivation? (Var 668),Black Soil,Red Soil,Alluvial Soil,Laterite Soil,0
ssc,What is the chemical formula of Water? (Var 714),O2,CO2,NaCl,H2O,3
ssc,Which gas is used in electric bulbs? (Var 796),Hydrogen,Oxygen,Argon,Nitrogen,2
ssc,The unit of force is? (Var 76),Watt,Pascal,Newton,Joule,2
ssc,Which vitamin is known as Ascorbic Acid? (Var 453),Vitamin C,Vitamin D,Vitamin A,Vitamin B,0
ssc,Sound travels fastest in? (Var 632),Water,Steel,Vacuum,Air,1
ssc,What is the square root of 144? (Var 550),12,10,16,14,0
ssc,What is 15% of 200? (Var 755),40,30,25,20,1
ssc,The sum of angles in a triangle is? (Var 214),360,270,90,180,3
ssc,If x + 5 = 10, then x is? (Var 746),15,0,5,10,2
ssc,What is the value of Pi (approx)? (Var 671),3.14,3.12,3.41,3.24,0
ssc,Find the odd one out: Car, Bus, Truck, Ship (Var 269),Car,Ship,Truck,Bus,1
ssc,Complete the series: 2, 4, 8, 16, ? (Var 139),64,20,24,32,3
ssc,If CAT = 3120, then DOG = ? (Var 329),4157,5157,4167,4156,0
ssc,Sun is to Day as Moon is to? (Var 179),Dark,Sky,Star,Night,3
ssc,Which word does not belong? (Var 163),Apple,Carrot,Mango,Banana,0
hptat,Who was the first Chief Minister of HP? (Var 881),Virbhadra Singh,Shanta Kumar,Y.S. Parmar,Ram Lal,2
hptat,Which is the state bird of Himachal Pradesh? (Var 452),Parrot,Peacock,Western Tragopan,Monal,2
hptat,Shimla was declared the summer capital of British India in? (Var 30),1911,1905,1864,1858,2
hptat,The Great Himalayan National Park is located in? (Var 59),Shimla,Mandi,Chamba,Kullu,3
hptat,Which river is known as 'Chandrabhaga'? (Var 138),Satluj,Ravi,Beas,Chenab,3
hptat,Nati is a famous folk dance of which district? (Var 856),Una,Sirmaur,Kullu,Kangra,2
hptat,Who built the Tabo Monastery? (Var 555),Rinchen Zangpo,Dalai Lama,Padmasambhava,None,0
hptat,Which place is known as 'Mini Switzerland'? (Var 770),Chail,Manali,Dalhousie,Khajjiar,3
hptat,Total number of districts in HP? (Var 383),8,12,14,10,1
hptat,The height of Shilla peak is? (Var 383),7025m,6050m,6816m,6500m,0
upsc,Who was the first Governor-General of Bengal? (Var 113),Lord Cornwallis,Lord Minto,Warren Hastings,Lord Wellesley,2
upsc,The Battle of Plassey was fought in which year? (Var 333),1764,1757,1857,1947,1
upsc,Who founder of the Maurya Empire? (Var 217),Bindusara,Kanishka,Ashoka,Chandragupta Maurya,3
upsc,Which act introduced dyarchy in provinces? (Var 37),Indian Councils Act 1909,Charter Act 1833,Government of India Act 1919,Government of India Act 1935,2
upsc,The Quit India Movement was launched in? (Var 672),1942,1920,1930,1919,0
upsc,Which Article deals with the abolition of untouchability? (Var 76),Article 17,Article 19,Article 21,Article 14,0
upsc,Who is the ex-officio Chairman of Rajya Sabha? (Var 759),Speaker,Prime Minister,Vice President,President,2
upsc,The Minimum age for becoming a Governor of State is? (Var 541),21 years,30 years,35 years,25 years,2
upsc,Which Schedule contains the list of recognized languages? (Var 302),Tenth Schedule,Ninth Schedule,Eighth Schedule,Seventh Schedule,2
upsc,The power to amend the Constitution rests with? (Var 44),President,Supreme Court,State Assemblies,Parliament,3
upsc,Which is the longest river in India? (Var 715),Ganga,Yamuna,Godavari,Narmada,0
upsc,Where is the headquarters of ISRO? (Var 593),Chennai,New Delhi,Mumbai,Bengaluru,3
upsc,Which state has result highest literacy rate? (Var 749),Tamil Nadu,Maharashtra,Kerala,Punjab,2
upsc,The Tropic of Cancer passes through how many states? (Var 627),6,9,8,7,2
upsc,Which soil is best for cotton cultivation? (Var 321),Alluvial Soil,Black Soil,Laterite Soil,Red Soil,1
ssc,What is the chemical formula of Water? (Var 679),O2,H2O,NaCl,CO2,1
ssc,Which gas is used in electric bulbs? (Var 232),Nitrogen,Argon,Hydrogen,Oxygen,1
ssc,The unit of force is? (Var 49),Pascal,Newton,Watt,Joule,1
ssc,Which vitamin is known as Ascorbic Acid? (Var 545),Vitamin B,Vitamin C,Vitamin D,Vitamin A,1
ssc,Sound travels fastest in? (Var 356),Water,Steel,Vacuum,Air,1
ssc,What is the square root of 144? (Var 708),14,12,10,16,1
ssc,What is 15% of 200? (Var 447),40,25,30,20,2
ssc,The sum of angles in a triangle is? (Var 617),360,90,180,270,2
ssc,If x + 5 = 10, then x is? (Var 853),0,15,10,5,3
ssc,What is the value of Pi (approx)? (Var 312),3.24,3.14,3.12,3.41,1
ssc,Find the odd one out: Car, Bus, Truck, Ship (Var 664),Truck,Car,Ship,Bus,2
ssc,Complete the series: 2, 4, 8, 16, ? (Var 175),32,64,24,20,0
ssc,If CAT = 3120, then DOG = ? (Var 401),4167,5157,4157,4156,2
ssc,Sun is to Day as Moon is to? (Var 957),Sky,Star,Night,Dark,2
ssc,Which word does not belong? (Var 612),Banana,Apple,Mango,Carrot,1
hptat,Who was the first Chief Minister of HP? (Var 650),Ram Lal,Y.S. Parmar,Shanta Kumar,Virbhadra Singh,1
hptat,Which is the state bird of Himachal Pradesh? (Var 85),Monal,Peacock,Parrot,Western Tragopan,3
hptat,Shimla was declared the summer capital of British India in? (Var 546),1864,1905,1858,1911,0
hptat,The Great Himalayan National Park is located in? (Var 283),Shimla,Kullu,Mandi,Chamba,1
hptat,Which river is known as 'Chandrabhaga'? (Var 29),Chenab,Ravi,Beas,Satluj,0
hptat,Nati is a famous folk dance of which district? (Var 216),Kullu,Kangra,Sirmaur,Una,0
hptat,Who built the Tabo Monastery? (Var 738),None,Padmasambhava,Rinchen Zangpo,Dalai Lama,2
hptat,Which place is known as 'Mini Switzerland'? (Var 203),Khajjiar,Chail,Manali,Dalhousie,0
hptat,Total number of districts in HP? (Var 18),14,10,12,8,2
hptat,The height of Shilla peak is? (Var 256),6816m,7025m,6500m,6050m,1
upsc,Who was the first Governor-General of Bengal? (Var 701),Lord Wellesley,Lord Minto,Warren Hastings,Lord Cornwallis,2
upsc,The Battle of Plassey was fought in which year? (Var 404),1764,1947,1757,1857,2
upsc,Who founder of the Maurya Empire? (Var 60),Ashoka,Kanishka,Bindusara,Chandragupta Maurya,3
upsc,Which act introduced dyarchy in provinces? (Var 905),Charter Act 1833,Indian Councils Act 1909,Government of India Act 1935,Government of India Act 1919,3
upsc,The Quit India Movement was launched in? (Var 973),1919,1930,1920,1942,3
upsc,Which Article deals with the abolition of untouchability? (Var 628),Article 21,Article 17,Article 19,Article 14,1
upsc,Who is the ex-officio Chairman of Rajya Sabha? (Var 374),Speaker,Vice President,Prime Minister,President,1
upsc,The Minimum age for becoming a Governor of State is? (Var 117),25 years,35 years,21 years,30 years,1
upsc,Which Schedule contains the list of recognized languages? (Var 143),Tenth Schedule,Seventh Schedule,Ninth Schedule,Eighth Schedule,3
upsc,The power to amend the Constitution rests with? (Var 294),President,State Assemblies,Parliament,Supreme Court,2
upsc,Which is the longest river in India? (Var 959),Ganga,Narmada,Godavari,Yamuna,0
upsc,Where is the headquarters of ISRO? (Var 422),New Delhi,Bengaluru,Mumbai,Chennai,1
upsc,Which state has result highest literacy rate? (Var 296),Punjab,Tamil Nadu,Maharashtra,Kerala,3
upsc,The Tropic of Cancer passes through how many states? (Var 140),8,9,6,7,0
upsc,Which soil is best for cotton cultivation? (Var 674),Red Soil,Alluvial Soil,Laterite Soil,Black Soil,3
ssc,What is the chemical formula of Water? (Var 20),NaCl,H2O,O2,CO2,1
ssc,Which gas is used in electric bulbs? (Var 732),Nitrogen,Argon,Hydrogen,Oxygen,1
ssc,The unit of force is? (Var 915),Joule,Pascal,Watt,Newton,3
ssc,Which vitamin is known as Ascorbic Acid? (Var 600),Vitamin D,Vitamin C,Vitamin B,Vitamin A,1
ssc,Sound travels fastest in? (Var 330),Water,Air,Steel,Vacuum,2
ssc,What is the square root of 144? (Var 90),16,14,10,12,3
ssc,What is 15% of 200? (Var 817),20,30,40,25,1
ssc,The sum of angles in a triangle is? (Var 425),270,90,360,180,3
ssc,If x + 5 = 10, then x is? (Var 832),15,10,5,0,2
ssc,What is the value of Pi (approx)? (Var 835),3.12,3.24,3.14,3.41,2
ssc,Find the odd one out: Car, Bus, Truck, Ship (Var 92),Car,Truck,Bus,Ship,3
ssc,Complete the series: 2, 4, 8, 16, ? (Var 700),64,20,32,24,2
ssc,If CAT = 3120, then DOG = ? (Var 196),4157,4167,4156,5157,0
ssc,Sun is to Day as Moon is to? (Var 578),Sky,Dark,Star,Night,3
ssc,Which word does not belong? (Var 353),Banana,Mango,Apple,Carrot,2
hptat,Who was the first Chief Minister of HP? (Var 617),Y.S. Parmar,Shanta Kumar,Ram Lal,Virbhadra Singh,0
hptat,Which is the state bird of Himachal Pradesh? (Var 125),Peacock,Parrot,Western Tragopan,Monal,2
hptat,Shimla was declared the summer capital of British India in? (Var 783),1864,1858,1911,1905,0
hptat,The Great Himalayan National Park is located in? (Var 71),Chamba,Mandi,Shimla,Kullu,3
hptat,Which river is known as 'Chandrabhaga'? (Var 318),Beas,Satluj,Ravi,Chenab,3
hptat,Nati is a famous folk dance of which district? (Var 233),Una,Kangra,Sirmaur,Kullu,3
hptat,Who built the Tabo Monastery? (Var 236),Padmasambhava,Dalai Lama,Rinchen Zangpo,None,2
hptat,Which place is known as 'Mini Switzerland'? (Var 799),Chail,Khajjiar,Manali,Dalhousie,1
hptat,Total number of districts in HP? (Var 536),10,8,14,12,3
hptat,The height of Shilla peak is? (Var 293),6500m,7025m,6050m,6816m,1
